"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"403",126,"Galeocerdo cuvier","eez","Trinidad and Tobago",0
"404",127,"Galeocerdo cuvier","eez","Saint Vincent and the Grenadines",0
"405",129,"Galeocerdo cuvier","eez","Panama",0
"406",130,"Galeocerdo cuvier","eez","Costa Rica",0
"407",131,"Galeocerdo cuvier","eez","Nicaragua",0
"408",132,"Galeocerdo cuvier","eez","Colombia",0
"409",133,"Galeocerdo cuvier","eez","Honduras",0
"410",134,"Galeocerdo cuvier","eez","El Salvador",0
"411",135,"Galeocerdo cuvier","eez","Mexico",0
"412",136,"Galeocerdo cuvier","eez","Guatemala",0
"413",137,"Galeocerdo cuvier","eez","Ecuador",0
"414",138,"Galeocerdo cuvier","eez","Peru",0
"415",139,"Galeocerdo cuvier","eez","Venezuela",0
"416",140,"Galeocerdo cuvier","eez","Guadeloupe and Martinique",0
"417",141,"Galeocerdo cuvier","eez","Faeroe Islands",0
"418",143,"Galeocerdo cuvier","eez","Iceland",0
"419",146,"Galeocerdo cuvier","eez","Pitcairn",0
"420",147,"Galeocerdo cuvier","eez","French Polynesia",0
"421",148,"Galeocerdo cuvier","eez","Line Group",0
"422",149,"Galeocerdo cuvier","eez","Jarvis Island",0
"423",150,"Galeocerdo cuvier","eez","Palmyra Atoll",0
"424",151,"Galeocerdo cuvier","eez","American Samoa",0
"425",152,"Galeocerdo cuvier","eez","Samoa",0
"426",153,"Galeocerdo cuvier","eez","Cook Islands",0
"427",154,"Galeocerdo cuvier","eez","Niue",0
"428",155,"Galeocerdo cuvier","eez","Tonga",0
"429",156,"Galeocerdo cuvier","eez","Tokelau",0
"430",157,"Galeocerdo cuvier","eez","Phoenix Group",0
"431",158,"Galeocerdo cuvier","eez","Howland Island and Baker Island",0
"432",159,"Galeocerdo cuvier","eez","Johnston Atoll",0
"433",161,"Galeocerdo cuvier","eez","Wallis and Futuna",0
"434",162,"Galeocerdo cuvier","eez","New Zealand",0
"435",163,"Galeocerdo cuvier","eez","United States",0
"436",164,"Galeocerdo cuvier","eez","Belize",0
"437",166,"Galeocerdo cuvier","eez","Jamaica",0
"438",167,"Galeocerdo cuvier","eez","Guyana",0
"439",168,"Galeocerdo cuvier","eez","Suriname",0
"440",169,"Galeocerdo cuvier","eez","French Guiana",0
"441",171,"Galeocerdo cuvier","eez","Brazil",0
"442",172,"Galeocerdo cuvier","eez","Argentina",0
"443",173,"Galeocerdo cuvier","eez","Uruguay",0
"444",175,"Galeocerdo cuvier","eez","Denmark",0
"445",176,"Galeocerdo cuvier","eez","Germany",0
"446",177,"Galeocerdo cuvier","eez","Netherlands",0
"447",179,"Galeocerdo cuvier","eez","France",0
"448",180,"Galeocerdo cuvier","eez","United Kingdom",0
"449",181,"Galeocerdo cuvier","eez","Ireland",0
"450",182,"Galeocerdo cuvier","eez","Spain",0
"451",183,"Galeocerdo cuvier","eez","Portugal",0
"452",190,"Galeocerdo cuvier","eez","Qatar",0
"453",191,"Galeocerdo cuvier","eez","Iran",0
"454",193,"Galeocerdo cuvier","eez","Guinea Bissau",0
"455",194,"Galeocerdo cuvier","eez","Guinea",0
"456",195,"Galeocerdo cuvier","eez","Ivory Coast",0
"457",196,"Galeocerdo cuvier","eez","Nigeria",0
"458",197,"Galeocerdo cuvier","eez","Cameroon",0
"459",198,"Galeocerdo cuvier","eez","Gabon",0
"460",199,"Galeocerdo cuvier","eez","Democratic Republic of the Congo",0
"461",200,"Galeocerdo cuvier","eez","Angola",0
"462",202,"Galeocerdo cuvier","eez","Tanzania",0
"463",203,"Galeocerdo cuvier","eez","India",0
"464",204,"Galeocerdo cuvier","eez","Bangladesh",0
"465",205,"Galeocerdo cuvier","eez","Myanmar",0
