"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"289",159,"Galeocerdo cuvier","eez","Johnston Atoll",0.5,NA
"290",161,"Galeocerdo cuvier","eez","Wallis and Futuna",0.5,NA
"291",162,"Galeocerdo cuvier","eez","New Zealand",0.5,NA
"292",163,"Galeocerdo cuvier","eez","United States",0.5,NA
"293",164,"Galeocerdo cuvier","eez","Belize",0.5,NA
"294",166,"Galeocerdo cuvier","eez","Jamaica",0.5,NA
"295",167,"Galeocerdo cuvier","eez","Guyana",0.5,NA
"296",168,"Galeocerdo cuvier","eez","Suriname",0.5,NA
"297",169,"Galeocerdo cuvier","eez","French Guiana",0.5,NA
"298",171,"Galeocerdo cuvier","eez","Brazil",0.5,NA
"299",172,"Galeocerdo cuvier","eez","Argentina",0.5,NA
"300",173,"Galeocerdo cuvier","eez","Uruguay",0.5,NA
"301",175,"Galeocerdo cuvier","eez","Denmark",0.5,NA
"302",176,"Galeocerdo cuvier","eez","Germany",0.5,NA
"303",177,"Galeocerdo cuvier","eez","Netherlands",0.5,NA
"304",179,"Galeocerdo cuvier","eez","France",0.5,NA
"305",180,"Galeocerdo cuvier","eez","United Kingdom",0.5,NA
"306",181,"Galeocerdo cuvier","eez","Ireland",0.5,NA
"307",182,"Galeocerdo cuvier","eez","Spain",0.5,NA
"308",183,"Galeocerdo cuvier","eez","Portugal",0.5,NA
"309",190,"Galeocerdo cuvier","eez","Qatar",0.5,NA
"310",191,"Galeocerdo cuvier","eez","Iran",0.5,NA
"311",193,"Galeocerdo cuvier","eez","Guinea Bissau",0.5,NA
"312",194,"Galeocerdo cuvier","eez","Guinea",0.5,NA
"313",195,"Galeocerdo cuvier","eez","Ivory Coast",0.5,NA
"314",196,"Galeocerdo cuvier","eez","Nigeria",0.5,NA
"315",197,"Galeocerdo cuvier","eez","Cameroon",0.5,NA
"316",198,"Galeocerdo cuvier","eez","Gabon",0.5,NA
"317",199,"Galeocerdo cuvier","eez","Democratic Republic of the Congo",0.5,NA
"318",200,"Galeocerdo cuvier","eez","Angola",0.5,NA
"319",202,"Galeocerdo cuvier","eez","Tanzania",0.5,NA
"320",203,"Galeocerdo cuvier","eez","India",0.5,NA
"321",204,"Galeocerdo cuvier","eez","Bangladesh",0.5,NA
"322",205,"Galeocerdo cuvier","eez","Myanmar",0.5,NA
"323",206,"Galeocerdo cuvier","eez","Malaysia",0.5,NA
"324",207,"Galeocerdo cuvier","eez","Vietnam",0.5,NA
"325",208,"Galeocerdo cuvier","eez","Singapore",0.5,NA
"326",209,"Galeocerdo cuvier","eez","China",0.5,NA
"327",210,"Galeocerdo cuvier","eez","Japan",0.5,NA
"328",212,"Galeocerdo cuvier","eez","Kiribati",0.5,NA
"329",214,"Galeocerdo cuvier","eez","Egypt",0.5,NA
"330",216,"Galeocerdo cuvier","eez","Indonesia",0.5,NA
"331",218,"Galeocerdo cuvier","eez","Canada",0.5,NA
"332",221,"Galeocerdo cuvier","eez","Northern Saint-Martin",0.5,NA
"333",222,"Galeocerdo cuvier","eez","Sweden",0.5,NA
"334",223,"Galeocerdo cuvier","eez","Norway",0.5,NA
"335",224,"Galeocerdo cuvier","eez","Chile",0.5,NA
"336",228,"Galeocerdo cuvier","eez","Guernsey",0.5,NA
"337",231,"Galeocerdo cuvier","eez","East Timor",0.5,NA
"338",237,"Galeocerdo cuvier","eez","Oecussi Ambeno",0.5,NA
"339",244,"Galeocerdo cuvier","eez","Curaçao",0.5,NA
"340",245,"Galeocerdo cuvier","eez","Bonaire",0.5,NA
